scramble_range,cube_number,success,solve_time,tree_size,solution_length
5,1,1,0.05575203895568848,114.0,3.0
5,2,1,0.018980979919433594,73.0,3.0
5,3,1,0.04958987236022949,171.0,3.0
5,4,1,0.04904985427856445,175.0,3.0
5,5,1,0.8175010681152344,2553.0,5.0
5,6,1,0.043920040130615234,156.0,3.0
5,7,1,0.0019867420196533203,7.0,1.0
5,8,1,0.4873929023742676,1566.0,5.0
5,9,1,0.032032012939453125,119.0,3.0
5,10,1,0.2700202465057373,942.0,5.0
5,11,1,0.05267190933227539,188.0,3.0
5,12,1,0.001960277557373047,7.0,1.0
5,13,1,0.5844910144805908,1762.0,5.0
5,14,1,0.5901470184326172,1915.0,5.0
5,15,1,0.002696990966796875,7.0,1.0
5,16,1,0.6685621738433838,2168.0,5.0
5,17,1,0.0029299259185791016,7.0,1.0
5,18,1,0.36980414390563965,1326.0,5.0
5,19,1,0.01638507843017578,58.0,3.0
5,20,1,0.5932059288024902,1806.0,5.0
5,21,1,0.0599520206451416,210.0,3.0
5,22,1,0.04010438919067383,151.0,3.0
5,23,1,0.0015223026275634766,7.0,1.0
5,24,1,0.9236090183258057,2580.0,5.0
5,25,1,0.02106189727783203,68.0,3.0
5,26,1,0.9786832332611084,2658.0,5.0
5,27,1,0.05616903305053711,206.0,3.0
5,28,1,0.014655113220214844,58.0,3.0
5,29,1,0.014530181884765625,58.0,3.0
5,30,1,0.0017251968383789062,7.0,1.0
5,31,1,0.018343210220336914,73.0,3.0
5,32,1,0.8240387439727783,2634.0,5.0
5,33,1,0.035684823989868164,124.0,5.0
5,34,1,0.6001908779144287,1786.0,5.0
5,35,1,0.6371579170227051,2179.0,5.0
5,36,1,0.050440073013305664,85.0,3.0
5,37,1,0.6010358333587646,2028.0,5.0
5,38,1,0.01609492301940918,58.0,3.0
5,39,1,1.0899159908294678,3461.0,5.0
5,40,1,1.073725938796997,3346.0,5.0
5,41,1,0.022869110107421875,85.0,3.0
5,42,1,1.734565258026123,4536.0,5.0
5,43,1,0.2232348918914795,676.0,5.0
5,44,1,0.03241705894470215,124.0,5.0
5,45,1,1.229780912399292,3905.0,5.0
5,46,1,1.4398620128631592,4069.0,5.0
5,47,1,0.47194385528564453,1450.0,5.0
5,48,1,0.016827106475830078,63.0,3.0
5,49,1,0.6388959884643555,2076.0,5.0
5,50,1,0.003017902374267578,7.0,1.0
10,1,1,65.61656999588013,145769.0,10.0
10,2,1,0.15429401397705078,229.0,4.0
10,3,1,7.032530069351196,20132.0,6.0
10,4,1,2.961570978164673,8828.0,6.0
10,5,1,4.8614208698272705,14182.0,6.0
10,6,1,48.04988884925842,114519.0,8.0
10,7,0,,,
10,8,1,6.879227161407471,17384.0,6.0
10,9,1,4.226889133453369,12027.0,6.0
10,10,1,3.9585108757019043,11678.0,6.0
10,11,0,,,
10,12,0,,,
10,13,0,,,
10,14,0,,,
10,15,0,,,
10,16,1,0.3700070381164551,1293.0,6.0
10,17,1,33.22934699058533,82800.0,8.0
10,18,0,,,
10,19,1,5.392648935317993,14647.0,6.0
10,20,1,5.565201997756958,15721.0,6.0
10,21,1,0.19484400749206543,611.0,6.0
10,22,1,29.575501918792725,71937.0,8.0
10,23,1,14.66762089729309,38268.0,8.0
10,24,1,2.548722982406616,7656.0,6.0
10,25,1,2.064020872116089,6100.0,6.0
10,26,1,0.22254681587219238,773.0,4.0
10,27,1,34.197031021118164,83206.0,8.0
10,28,1,86.98815107345581,196403.0,8.0
10,29,0,,,
10,30,1,1.9194722175598145,6235.0,6.0
10,31,0,,,
10,32,1,2.782457113265991,8594.0,6.0
10,33,0,,,
10,34,0,,,
10,35,0,,,
10,36,1,0.2882051467895508,937.0,4.0
10,37,0,,,
10,38,1,0.08818197250366211,307.0,4.0
10,39,1,0.0069310665130615234,25.0,4.0
10,40,1,0.6727991104125977,2120.0,6.0
10,41,0,,,
10,42,1,0.010715007781982422,12.0,2.0
10,43,1,0.007216930389404297,30.0,2.0
10,44,0,,,
10,45,1,10.281944036483765,27389.0,8.0
10,46,1,0.2270829677581787,753.0,4.0
10,47,1,2.814065933227539,8561.0,6.0
10,48,1,22.282120943069458,56115.0,8.0
10,49,1,0.2552919387817383,826.0,4.0
10,50,1,2.007337808609009,6372.0,6.0
15,1,1,147.594153881073,315027.0,9.0
15,2,1,33.01590704917908,81326.0,7.0
15,3,1,1.2733476161956787,4008.0,5.0
15,4,1,139.30821299552917,295513.0,9.0
15,5,1,9.917855978012085,27273.0,7.0
15,6,1,358.3572578430176,657997.0,9.0
15,7,0,,,
15,8,1,4.147480726242065,10889.0,7.0
15,9,0,,,
15,10,0,,,
15,11,1,27.893064260482788,70879.0,7.0
15,12,1,49.48772406578064,119165.0,9.0
15,13,1,10.693962097167969,28407.0,7.0
15,14,1,43.88087320327759,100873.0,9.0
15,15,0,,,
15,16,0,,,
15,17,1,1.0619380474090576,2419.0,5.0
15,18,0,,,
15,19,0,,,
15,20,0,,,
15,21,1,24.959869861602783,62696.0,9.0
15,22,0,,,
15,23,0,,,
15,24,0,,,
15,25,1,12.630920886993408,35128.0,7.0
20,1,0,,,
20,2,0,,,
20,3,1,2.433457851409912,763.0,4.0
20,4,0,,,
20,5,0,,,
20,6,0,,,
20,7,0,,,
20,8,0,,,
20,9,1,58.678372859954834,133596.0,8.0
20,10,0,,,
